Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,,,A filter variable that is used to decide if entry is in the smaller resume. ,Maybe use these columns to choose which entries used for a given company?
awards_and_honors,National Institutes of Health Post-Baccalaureate Outstanding Poster Award,National Institutes of Health,"Bethesda, MD",,2013,,,,,,,,TRUE,FALSE
awards_and_honors,National Institutes of Health Post-Baccalaureate Training Award,National Institutes of Health,"Bethesda, MD",,2012,,,,,,,,TRUE,FALSE
awards_and_honors,John Thanassi Research Award for Outstanding Achievements in Biochemistry,University of Vermont,"Burlington, VT",,2012,,,,,,,,TRUE,FALSE
awards_and_honors,Geography Bee Winner,East Kingston Elementary School,"East Kingston, NH",,2000,Winner of the 5th grade Geography Bee at the Elementary School level,,,,,,,TRUE,FALSE
research_positions,Graduate Research Fellow,Research Rotation<br />Carnegie Instituion of Washington<br />Department of Embryology,"Baltimore, MD",,2014,Advisor: **Dr. Alex Bortvin**,"Project: ""Quantitation of transposable element abundance in RNA-seq data""",Comparison and <u>benchmarking of multiple bioinformatic pipelines</u> for <u>taxonomic classification and quantification</u> of DNA transposable elements in biological samples.,"Preprocessing, alignment, and filtering of <u>NGS RNA-seq</u> reads followed by quantitation of genomic feature overlaps using combination of `bowtie`, `bedtools`, and custom `Python` scripts",,,,TRUE,FALSE
research_positions,Graduate Research Fellow,Translational and Functional Genomics Branch,"Bethesda, MD",2014,2020,Advisor: **Dr. Laura Elnitski**,"Project 1: ""Detection of Methylated Cancer Biomarkers in Cell-free DNA""","Project 2: ""Elucidation of Molecular Commonalities in CpG Island Methylator Phenotype Tumors Across Cancer-types""",,,,,FALSE,FALSE
research_positions,Post-Baccalaureate Research Fellow,Genomic Structure and Function Section,"Bethesda, MD",2012,2014,Advisor: **Dr. Anthony Furano**,"Project: ""Factors that Determine Strand Selection During Repair of T/G Mismatches""",,,,,,FALSE,FALSE
research_positions,Undergraduate Researcher,Department of Pharmacology,University of Vermont,2011,2012,Advisor: **Dr. Wolfgang Dostmann**,"Project: ""Purification and Long-term Storage of Toxoplasma gondii PKGII Protein""",,,,,,FALSE,FALSE
research_positions,Undergraduate Researcher,Department of Biochemistry,University of Vermont,,2011,Advisor: **Dr. Anne B. Mason**,"Project: ""Identification of Key Residues of Human Transferrin and Transferrin Receptor""",,,,,,FALSE,FALSE
research_positions,Research Assistant,Department of Biological Sciences,"University of Massachusetts, Lowell, MA",,2007,Advisor: **Dr. Brian Bettencourt**,"Project: ""Variation inn Hsp70 Expression During Natural Thermal Stress Drives Differential Suppression of poly-Q Toxicity""",,,,,,TRUE,FALSE
teaching_positions,Lecturer - Research Tools for Studying Disease,National Institutes of Health,"Bethesda, MD",2015,2016,"Developed syllabus, overall course structure, and administered grades for ""Proteins I"" and ""Computational Biology"" lectures",,,,,,,FALSE,FALSE
teaching_positions,Teaching Assistant - General Biology,Johns Hopkins University,"Baltimore, MD",,2015,"Managed laboratory section, which included experimental setup, development of instructional lectures, and adminstration of assignments and exams",,,,,,,FALSE,FALSE
teaching_positions,Program Leader,Health Education Outreach Program,"Bethesda, MD",2012,2014,Taught topics in medicine and healthcare to underpriviledged and underrepresented communities,,,,,,,FALSE,FALSE
teaching_positions,Tutor - General Chemistry and Organic Chemistry,University of Vermont,"Burlington, VT",2010,2012,Established and oversaw individual and group tutoring sessions,,,,,,,FALSE,FALSE
mentorship,High School Summer Student,Johns Hopkins University,"Baltimore, MD",,2022,Efficient Detection of Gene Expression Patterns in Large Spatially Resolved Single-Cell Transcriptomics Datasets with Pseudospot Aggregation,Mayling Chen,,,,,,FALSE,FALSE
mentorship,Undergraduate Research  Assistant,Johns Hopkins University,"Baltimore, MD",2021,2022,STdeconvolve Computational Performance Benchmarking,Feiyang,,,,,,FALSE,FALSE
invited_speaker,Reference-free cell-type deconvolution of multi-cellular pixel resolution spatially resolved transcriptomics data,NYU Langone Single Cell Club,Virtual,,2022,,,,,,,,FALSE,FALSE
invited_speaker,Reference-free cell-type deconvolution of multi-cellular pixel resolution spatially resolved transcriptomics data,"[<i class=""fa fa-link""></i>&nbsp;Bioengineering Solutions for Biology and Medicine](https://bioeng2022.helmholtz-muenchen.de/)","Munich, Germany",,2022,,,,,,,,FALSE,FALSE
invited_speaker,Reference-free cell-type deconvolution of multi-cellular pixel resolution spatially resolved transcriptomics data,"[<i class=""fa fa-link""></i>&nbsp;CNS Research Showcase at Indiana University](https://cns.iu.edu/)",Virtual,,2022,,,,,,,,FALSE,FALSE
invited_speaker,Reference-free cell-type deconvolution of multi-cellular pixel resolution spatially resolved transcriptomics data,"[<i class=""fa fa-link""></i>&nbsp;University of Sydney Bioinformatics Seminar Series](https://www.maths.usyd.edu.au/u/SemConf/StatisticalBioinformatics.html)",Virtual,,2021,,,,,,,,FALSE,FALSE
invited_speaker,A methylation density binary classifier for predicting and optimizing the performance of methylation biomarkers in clinical samples,Circulating Nucleic Acids/Liquid Biopsy Interest Group,Virtual,,2019,,,,,,,,FALSE,FALSE
invited_speaker,Advancement in ovarian carcinoma detection using circulating cell-free DNA from patient plasma samples,National Human Genome Research Institute Symposium,"Bethesda, MD",,2018,,,,,,,,FALSE,FALSE
invited_speaker,Detecting DNA methylation patterns in patient plasma to improve cancer diagnostics,NIEHS Inflammation Faculty Workshop,"Research Triangle Park, NC",,2018,,,,,,,,FALSE,FALSE
invited_speaker,Detecting DNA methylation patterns in patient plasma to improve cancer diagnostics,3rd Annual Liquid Biopsy Summit,"San Francisco, CA",,2018,,,,,,,,FALSE,FALSE
poster_presentations,A methylation density binary classifier for predicting and optimizing the performance of methylation biomarkers in clinical samples,Advances in Genome Biology and Technology,"Marco Island, FL",,2020,,,,,,,,FALSE,FALSE
poster_presentations,Detecting DNA methylation in blood for cancer diagnostics,Next Generation Diagnostics Summit,"Washington, DC",,2017,,,,,,,,FALSE,FALSE
poster_presentations,Detecting DNA methylation in blood for cancer diagnostics,EMBO Chromatin and Epigenetics Meeting,"Heidelberg, Germany",,2017,,,,,,,,FALSE,FALSE
poster_presentations,Factors that determine strand selection during repair of T/G mismatches,13th Annual Postbac Poster Day,"Bethesda, MD",,2013,,,,,,,,FALSE,FALSE
preprints,"Building genomic analysis pipelines in a hackathon setting with bioinformatician teams: DNA-Seq, Epigenomics, Metagenomics, and RNA-Seq","[<i class=""fa fa-link""></i>&nbsp;bioRxiv 018085](https://www.biorxiv.org/content/10.1101/018085v2)",,,2015,"Ben Busby, Allissa Dillman, Claire L. Simpson, Ian Fingerman, Sijung Yun, David M. Kristensen, Lisa Federer, Naisha Shah, Matthew C. LaFave, Laura Jimenez-Barron, Manjusha Pande, Wen Luo, **Brendan Miller**, Cem Mayden, Dhruva Chandramohan, Kipper Fletez-Brant, Paul W. Bible, Sergej Nowoshilow, Alfred Chan, Eric JC Galvez, Jeremy Chignell, Joseph N. Paulson, Manoj Kandpal, Suhyeon Yoon, Esther Asaki, Abhinav Nellore, Adam Stine, Robert Sanders, Jesse Becker, Matt Lesko, Mordechai Abzug, Eugene Yaschenko",,,,,,,FALSE,FALSE
academic_articles,Reference-free cell type deconvolution of multi-cellular pixel-resolution spatially resolved transcriptomics data,"[<i class=""fa fa-link""></i>&nbsp;Nat Commun 13, 2339 (2022)](https://doi.org/10.1038/s41467-022-30033-z)",,,2022,"**Brendan F. Miller**, Feiyang Huang, Lyla Atta, Arpan Sahoo, Jean Fan","Software: [<i class=""fa fa-link""></i>&nbsp;STdeconvolve](https://jef.works/STdeconvolve/)",,,,,,FALSE,FALSE
academic_articles,Characterizing spatial gene expression heterogeneity in spatially resolved single-cell transcriptomics data with nonuniform cellular densities,"[<i class=""fa fa-link""></i>&nbsp;Genome Res. 2021. 31: 1843-1855](https://doi.org/10.1101/gr.271288.120)",,,2021,"**Brendan F. Miller**, Dhananjay Bambah-Mukku, Catherine Dulac, Xiaowei Zhuang, Jean Fan","Software: [<i class=""fa fa-link""></i>&nbsp;MERINGUE](https://jef.works/MERINGUE/)",,,,,,FALSE,FALSE
academic_articles,"Assessing ZNF154 methylation in patient plasma as a multicancer marker in liquid biopsies from colon, liver, ovarian and pancreatic cancer patients","[<i class=""fa fa-link""></i>&nbsp;Sci Rep 11, 221 (2021)](https://doi.org/10.1038/s41598-020-80345-7)",,,2021,"**Brendan F. Miller**, Hanna M. Petrykowska, Laura Elnitski",,,,,,,FALSE,FALSE
academic_articles,Leveraging locus-specific epigenetic heterogeneity to improve the performance of blood-based DNA methylation biomarkers,"[<i class=""fa fa-link""></i>&nbsp;Clin Epigenet 12, 154 (2020)](https://doi.org/10.1186/s13148-020-00939-w)",,,2020,"**Brendan F. Miller**, Thomas R. Pisanic II, Gennady Margolin, Hanna M. Petrykowska, Pornpat Athamanolap, Akosua Osei-Tutu, Tza-Huei Wang, Christina Annunziata, Laura Elnitski","Software: [<i class=""fa fa-link""></i>&nbsp;EpiClass](https://pypi.org/project/EpiClass/)",,,,,,FALSE,FALSE
academic_articles,Identification of human silencers by correlating cross-tissue epigenetic profiles and gene expression,"[<i class=""fa fa-link""></i>&nbsp;Genome Research. 2019 March; 29(3):1-11](https://doi.org/10.1101/gr.247007.118)",,,2019,"Di Huang, Hanna M. Petrykowska, **Brendan F. Miller**, Laura Elnitski, Ivan Ovcharenko",,,,,,,FALSE,FALSE
academic_articles,Transient reduction of DNA methylation at the onset of meiosis in male mice,"[<i class=""fa fa-link""></i>&nbsp;Epigenetics and Chromatin. 2018 April; 11:15](https://doi.org/10.1186/s13072-018-0186-0)",,,2018,"Valeriya Gaysinskaya, **Brendan F. Miller**, Godfried W. van der Heijden, Kasper D. Hansen, Alex Bortvin",,,,,,,FALSE,FALSE
academic_articles,The emergence of pan-cancer CIMP and its elusive interpretation,"[<i class=""fa fa-link""></i>&nbsp;Biomolecules. 2016 Nov; 6(4):45](https://doi.org/10.3390/biom6040045)",,,2016,"**Brendan F. Miller**, Francisco Sanchez-Vega, Laura Elnitski",,,,,,,FALSE,FALSE
academic_articles,Repair of naturally occurring mispairs can induce mutations in flanking DNA,"[<i class=""fa fa-link""></i>&nbsp;eLife 2014;3:e02001](https://doi.org/10.7554/eLife.02001)",,,2014,"Jia Chen, **Brendan F. Miller**, Anthony V. Furano",,,,,,,FALSE,FALSE
academic_articles,Structure-based Mutagenesis Reveals Critical Residues in the Transferrin Receptor Participating in the Mechanism of pH-induced Release of Iron from Human Serum Transferrin,"[<i class=""fa fa-link""></i>&nbsp;Biochemistry. 2012 Feb; 51(10):2113-21](https://doi.org/10.1021/bi3001038)",,,2012,"Ashley N. Steere, N. Dennis Chasteen, **Brendan F. Miller**, Valerie C. Smith, Ross T. A. MacGillivray, Anne B. Mason",,,,,,,FALSE,FALSE
academic_articles,Ionic Residues of Human Serum Transferrin that Affect Binding to the Transferrin Receptor and Iron Release from the Complex,"[<i class=""fa fa-link""></i>&nbsp;Biochemistry. 2012 Dec; 51(2):686-94](https://doi.org/10.1021/bi201661g)",,,2012,"Ashley N. Steere, **Brendan F. Miller**, Samantha E. Roberts, Shaina L. Byrne, N. Dennis Chasteen, Valerie C. Smith, Ross T. A. MacGillivray, Anne B. Mason.",,,,,,,FALSE,FALSE
software,STdeconvolve,"[<i class=""fa fa-link""></i>&nbsp;https://jef.works/STdeconvolve/](https://jef.works/STdeconvolve/)",,,2021,Unsupervised machine learning approach to deconvolve multi-cellular pixel resolution spatial transcriptomics datasets in order to recover the putative transcriptomic profiles of cell-types and their proportional representation within spatially resolved pixels without reliance on external single-cell transcriptomics references.,,,,,,,FALSE,FALSE
software,MERINGUE,"[<i class=""fa fa-link""></i>&nbsp;https://jef.works/MERINGUE/](https://jef.works/MERINGUE/)",,,2021,MERINGUE characterizes spatial gene expression heterogeneity in spatially resolved single-cell transcriptomics data with non-uniform cellular densities.,,,,,,,FALSE,FALSE
software,EpiClass,"[<i class=""fa fa-link""></i>&nbsp;https://pypi.org/project/EpiClass/](https://pypi.org/project/EpiClass/)",,,2020,Optimizing and predicting performance of DNA methylation biomarkers using sequence methylation density information.,,,,,,,FALSE,FALSE
service_,BUGSS Volunteer,,,,,,,,,,,,,
service,Journal Reviewer - Nature Protocols,"[<i class=""fa fa-link""></i>&nbsp;Prioritization of cell-types responsive to biological perturbations in single-cell data with Augur. Nat Protoc 16, 3836-3873 (2021)](https://doi.org/10.1038/s41596-021-00561-x)",,,2021,,,,,,,,FALSE,FALSE
service,Journal Reviewer - Epigenomics,,,,2019,,,,,,,,FALSE,FALSE
service,The Liquid Biopsies (LB) Scientific Interest Group (SIG),[Research Webinar Committee Co-Leader](https://oir.nih.gov/sigs/circulating-nucleic-acidsliquid-biopsy-interest-group),,2019,Current,The aims of the Liquid Biopsies Interest Group are to: (1) foster scientific exchange; (2) communication of research (3); working towards establishing standard practices for circulating nucleic acids studies; (4) sharing and optimization of techniques.,,,,,,,FALSE,FALSE
reference,Dr. Jean Fan,Johns Hopkins University<br />Department of Biomedical Engineering<br />jeanfan@jhu.edu,,,,,,,,,,,FALSE,FALSE
reference,Dr. Laura Elniski,National Institutes of Health<br />National Human Genome Research Institute<br />elnitski@nih.gov,,,,,,,,,,,FALSE,FALSE
reference,Dr. Thomas Pisanic II,Johns Hopkins University<br />Department of Mechanical Engineering<br />tpisani1@jhu.edu,,,,,,,,,,,FALSE,FALSE
